iter	Logloss
0	0.3690368643
1	0.2114283692
2	0.1341659518
3	0.09270127373
4	0.07023033845
5	0.05499154258
6	0.04352614202
7	0.03591742321
8	0.02971169463
9	0.02613053945
10	0.02239159099
11	0.01955218351
12	0.01654150408
13	0.01479952913
14	0.0133645024
15	0.01221230952
16	0.01082049598
17	0.009945097096
18	0.00904345902
19	0.008209431012
20	0.007486082659
21	0.006866331904
22	0.006434065478
23	0.005923844135
24	0.005534250954
25	0.005086557936
26	0.004792620219
27	0.004523649159
28	0.004275641409
29	0.003988224256
30	0.003732961306
31	0.003555681498
32	0.003398058843
33	0.003228813988
34	0.003113989894
35	0.00296053209
36	0.002844578414
37	0.002725454745
38	0.002615978183
39	0.00232250274
40	0.002202933436
41	0.002144032514
42	0.00207045854
43	0.002000682049
44	0.001919057319
45	0.001848327398
46	0.00178757284
47	0.001726766306
48	0.001683993144
49	0.001683991903
50	0.001643295542
51	0.00158966856
52	0.001533148789
53	0.001533116024
54	0.001483924
55	0.001483825837
56	0.001483796199
57	0.001428544525
58	0.001428544525
59	0.001384249307
60	0.001384237159
61	0.001384179872
62	0.001344123189
63	0.001344150445
64	0.001344150445
65	0.001305502459
66	0.001305446959
67	0.00130546229
68	0.001305412938
69	0.001305412938
70	0.001305412938
71	0.001305418893
72	0.001305407544
73	0.001305412674
74	0.001305407487
75	0.001305407487
76	0.001305407487
77	0.001305407487
78	0.001305407487
79	0.001305407487
80	0.001305407487
81	0.001305407487
82	0.001305407487
83	0.001305407487
84	0.001305407487
85	0.001305377649
86	0.001305374568
87	0.001305321976
88	0.001305355621
89	0.001305333203
90	0.001305333203
91	0.001305333203
92	0.001305333203
93	0.001305333203
94	0.001305333203
95	0.001305333203
96	0.001305314687
97	0.001305264033
98	0.001305300561
99	0.001305238887
100	0.001305238887
101	0.001305238887
102	0.001305238887
103	0.001305238887
104	0.001305238887
105	0.001305238887
106	0.001305238887
107	0.001305238887
108	0.001305238887
109	0.001305238887
110	0.001305238887
111	0.001305238887
112	0.001305238887
113	0.001305238887
114	0.001305238887
115	0.001305238887
116	0.001305238887
117	0.001305238887
118	0.001305238887
119	0.001305238887
120	0.001305238887
121	0.001305238887
122	0.001305238887
123	0.001305238887
124	0.001305238887
125	0.001305238887
126	0.001305238887
127	0.001305238887
128	0.001305238887
129	0.001305238887
130	0.001305238887
131	0.001305238887
132	0.001305238887
133	0.001305238887
134	0.001305238887
135	0.001305238887
136	0.001305238887
137	0.001305238887
138	0.001305238887
139	0.001305238887
140	0.001305238887
141	0.001305238887
142	0.001305238887
143	0.001305238887
144	0.001305238887
145	0.001305238887
146	0.001305238887
147	0.001305238887
148	0.001305238887
149	0.001305238887
150	0.001305238887
151	0.001305295629
152	0.001305245676
153	0.001305201573
154	0.00130521269
155	0.001305194858
156	0.001305194858
157	0.001305194858
158	0.001305194858
159	0.001305194858
160	0.001305194858
161	0.001305194858
162	0.001305194858
163	0.001305194858
164	0.001305194858
165	0.001305194858
166	0.001305194858
167	0.001305194858
168	0.001305194858
169	0.001305194858
170	0.001305194858
171	0.001305194858
172	0.001305194858
173	0.001305194858
174	0.001305194858
175	0.001305194858
176	0.001305194858
177	0.001305194858
178	0.001305182247
179	0.001305182862
180	0.001305162225
181	0.001305162225
182	0.001305162225
183	0.001305162225
184	0.001305162225
185	0.001305162225
186	0.001305162225
187	0.001305162225
188	0.001305162225
189	0.001305162225
190	0.001305162225
191	0.001305147051
192	0.001305161851
193	0.001305140416
194	0.001305134474
195	0.00130514896
196	0.00130514896
197	0.00130514896
198	0.00130514896
199	0.00130514896
200	0.00130514896
201	0.00130514896
202	0.00130514896
203	0.00130514896
204	0.00130514896
205	0.00130514896
206	0.00130514896
207	0.00130514896
208	0.00130514896
209	0.00130514896
210	0.00130514896
211	0.00130514896
212	0.00130514896
213	0.00130514896
214	0.00130514896
215	0.00130514896
216	0.00130514896
217	0.00130514896
218	0.00130514896
219	0.001305115081
220	0.001305134568
221	0.001305134568
222	0.001305134568
223	0.001305134568
224	0.001305134568
225	0.001305134568
226	0.001305134568
227	0.001305134568
228	0.001305134568
229	0.001305134568
230	0.001305134568
231	0.001305134568
232	0.001305134568
233	0.001305134568
234	0.001305134568
235	0.001305134568
236	0.001305134568
237	0.001305134568
238	0.001305134568
239	0.001305134568
240	0.001305134568
241	0.001305134568
242	0.001305134568
243	0.001305134568
244	0.001305134568
245	0.001305134568
246	0.001305134568
247	0.001305134568
248	0.001305134568
249	0.001305134568
